TOTAL ROUTES: 351

VERB	PATH	SCREEN	GUARDS	FILE
GET	/api/campaigns/templates/:id	campaigns:view	AuthGuard+ScreenGuard	campaigns/campaign-templates.controller.ts
PUT	/api/campaigns/templates/:id	campaigns:edit	AuthGuard+ScreenGuard	campaigns/campaign-templates.controller.ts
POST	/api/campaigns/templates/:id/attachments	campaigns:edit	AuthGuard+ScreenGuard	campaigns/campaign-templates.controller.ts
DELETE	/api/campaigns/templates/:id/attachments/:attachmentId	campaigns:edit	AuthGuard+ScreenGuard	campaigns/campaign-templates.controller.ts
GET	/api/campaigns/templates/:id/attachments/:attachmentId	campaigns:view	AuthGuard+ScreenGuard	campaigns/campaign-templates.controller.ts
GET	/api/campaigns/templates/categories	campaigns:view	AuthGuard+ScreenGuard	campaigns/campaign-templates.controller.ts
POST	/api/campaigns/test-send	campaigns:edit	AuthGuard+ScreenGuard	campaigns/campaigns.controller.ts
GET	/api/campaigns/track/click	-	-	campaigns/campaign-tracking.controller.ts
GET	/api/campaigns/track/open	-	-	campaigns/campaign-tracking.controller.ts
GET	/api/campaigns/tracking-health	campaigns:view	AuthGuard+ScreenGuard	campaigns/campaigns.controller.ts
GET	/api/campaigns/unsubscribe	-	-	campaigns/campaign-tracking.controller.ts
POST	/api/campaigns/unsubscribe	-	-	campaigns/campaign-tracking.controller.ts
GET	/api/company-settings	-	AuthGuard	settings/company-settings.controller.ts
PUT	/api/company-settings	settings:edit	AuthGuard+ScreenGuard	settings/company-settings.controller.ts
DELETE	/api/company-settings/logo	settings:edit	AuthGuard+ScreenGuard	settings/company-settings.controller.ts
GET	/api/company-settings/logo	-	-	settings/company-settings.controller.ts
POST	/api/company-settings/logo	settings:edit	AuthGuard+ScreenGuard	settings/company-settings.controller.ts
GET	/api/crm-settings	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
POST	/api/crm-settings	settings:edit	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
PUT	/api/crm-settings	settings:edit	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/broadcasts	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
POST	/api/crm-settings/broadcasts	settings:edit	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/email-log	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
GET	/api/crm-settings/email-settings	settings:view	AuthGuard+ScreenGuard	crm-settings/crm-settings.controller.ts
